Location,Gender,Product,location_code,gender_code,product_code
"Rawalpindi, Pakistan",Male,Casual Wear For Females,312,1,4
"Karachi, Pakistan",Male,Casual Wear For Females,166,1,4
Chilas,Male,Casual Wear For Females,68,1,4
"Karachi, Pakistan",Male,Casual Wear For Females,166,1,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Rawalpindi, Pakistan",Female,Casual Wear For Females,312,0,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Melbourne, Victoria, Australia",Female,Casual Wear For Females,229,0,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
Faisalabad,Female,Casual Wear For Females,99,0,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Sukkur, Sindh",Female,Casual Wear For Females,341,0,4
Faisalabad,Female,Casual Wear For Females,99,0,4
Murree,Female,Casual Wear For Females,249,0,4
"Rawalpindi, Pakistan",Female,Casual Wear For Females,312,0,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Rawalpindi, Pakistan",Female,Casual Wear For Females,312,0,4
"New York, New York",Female,Casual Wear For Females,267,0,4
"Sydney, Australia",Female,Casual Wear For Females,344,0,4
"Islamabad, Pakistan",Female,Casual Wear For Females,141,0,4
"Karachi, Pakistan",Male,Casual Wear For Females,166,1,4
Rahim Yar Khan,Female,Casual Wear For Females,303,0,4
"Karachi, Pakistan",Male,Casual Wear For Females,166,1,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
Multan,Female,Casual Wear For Females,248,0,4
"Victoria, Seychelles",Female,Casual Wear For Females,375,0,4
Multan,Female,Casual Wear For Females,248,0,4
"Karachi, Pakistan",Female,Casual Wear For Females,166,0,4
"Lahore, Pakistan",Female,Casual Wear For Females,200,0,4
"Islamabad, Pakistan",Male,Casual Wear For Females,141,1,4
