Location,Gender,Product
"Islamabad, Pakistan",Female,Casual Wear For Females
"Karachi, Pakistan",Male,Casual Wear For Females
Rahim Yar Khan,Female,Casual Wear For Females
"Karachi, Pakistan",Male,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
Multan,Female,Casual Wear For Females
"Victoria, Seychelles",Female,Casual Wear For Females
Multan,Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Islamabad, Pakistan",Male,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Shah Faisalabad, Punjab, Pakistan",Female,Casual Wear For Females
"Kuala Lumpur, Malaysia",Female,Casual Wear For Females
"London, United Kingdom",Female,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Mississauga, Ontario",Female,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
Multan,Male,Casual Wear For Females
"Karachi, Pakistan",Male,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
Faisalabad,Female,Casual Wear For Females
"Ashford, Kent",Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
Baffa,Female,Casual Wear For Females
"Hamburg, Germany",Male,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Mirpur, Azad Kashmir",Female,Casual Wear For Females
"Sahiwal, Punjab, Pakistan",Male,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Rawalpindi West Ridge, Punjab, Pakistan",Female,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Islamabad, Pakistan",Male,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Riyadh, Saudi Arabia",Female,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Austin, Texas",Female,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Lahore, Pakistan",Female,Casual Wear For Females
"Albuquerque, New Mexico",Female,Casual Wear For Females
"Karachi, Pakistan",Female,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Dubai, United Arab Emirates",Male,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
"Islamabad, Pakistan",Female,Casual Wear For Females
Faisalabad,Female,Casual Wear For Females
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
Faisalabad,Female,Accessories for Female 
Sanghar,Female,Accessories for Female 
"Quetta, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
Sheikhupura,Female,Accessories for Female 
"Rawalpindi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"New York, New York",Female,Accessories for Female 
Layyah,Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Rawalpindi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
Abbottabad,Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Islamabad, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Male,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Peshawar, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Al Arin, Abha, Kingdom of Saudi Arabia",Female,Accessories for Female 
"London, United Kingdom",Female,Accessories for Female 
"Gujranwala, Pakistan",Female,Accessories for Female 
"Gujranwala, Pakistan",Male,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Medina, Saudi Arabia",Male,Accessories for Female 
"Rawalpindi, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Male,Accessories for Female 
Bannu,Female,Accessories for Female 
Sargodha,Male,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Male,Accessories for Female 
"Lahore, Pakistan",Male,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Lahore, Pakistan",Male,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
Pind Dadan Khan,Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Sialkot, Punjab",Female,Accessories for Female 
"Wah, Pakistan",Female,Accessories for Female 
"Dubai, United Arab Emirates",Male,Accessories for Female 
"Lahore, Pakistan",Female,Accessories for Female 
"Islamabad, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
"Karachi, Pakistan",Female,Accessories for Female 
